Price,Close,High,Low,Open,Volume,Date,Return,Daily_Range,MA_7,MA_30,Volatility_7,Year,Month,DayOfWeek,Lag_1,Lag_7,Volume_MA_7
2014-03-17,4.711997032165527,4.85016815549002,4.425025639793251,4.425025639793251,68200,2014-03-17,,0.425142515696769,,,,2014,3,0,,,
2014-03-18,5.048568248748779,5.278853682840762,4.694282757608514,4.711997099740122,135600,2014-03-18,0.0714285714285714,0.5845709252322484,,,,2014,3,1,4.711997032165527,,
2014-03-19,4.959996223449707,5.101710266113384,4.90685354191906,5.013138904980353,25600,2014-03-19,-0.017543988896460583,0.19485672419432465,,,,2014,3,2,5.048568248748779,,
2014-03-20,4.959996223449707,4.959996223449707,4.889493292947593,4.959996223449707,8200,2014-03-20,0.0,0.07050293050211387,,,,2014,3,3,4.959996223449707,,
2014-03-21,4.69074010848999,4.92456849288367,4.60571166650556,4.92456849288367,10600,2014-03-21,-0.054285548381415416,0.3188568263781093,,,,2014,3,4,4.959996223449707,,
2014-03-24,4.400225639343262,4.623425529787973,4.2691400537562965,4.623425529787973,57400,2014-03-24,-0.0619336101398823,0.35428547603167626,,,,2014,3,0,4.69074010848999,,
2014-03-25,4.761595249176025,4.761595249176025,4.322281469155266,4.463995820624222,8200,2014-03-25,0.08212524526053588,0.4393137800207594,4.790445532117571,,,2014,3,1,4.400225639343262,,44828.57142857143
2014-03-26,4.417940616607666,4.74742592698738,4.339997706057698,4.463997775665693,25200,2014-03-26,-0.07217216386206438,0.407428220929682,4.748437472752163,,0.06292048939112473,2014,3,2,4.761595249176025,4.711997032165527,38685.71428571428
2014-03-27,4.651769161224365,4.67656904080093,4.446283575916494,4.446283575916494,50600,2014-03-27,0.052927045632461533,0.23028546488443613,4.691751888820103,,0.05933992737106953,2014,3,3,4.417940616607666,5.048568248748779,26542.85714285714
2014-03-28,4.605711936950684,4.605711936950684,4.601460480814519,4.601460480814519,4200,2014-03-28,-0.009901012427185663,0.0042514561361644,4.641139847891671,,0.05925093973661321,2014,3,4,4.651769161224365,4.959996223449707,23485.714285714286
2014-03-31,4.648225784301758,4.743883032815285,4.623425907075133,4.743883032815285,43200,2014-03-31,0.009230678759996724,0.12045712574015166,4.596601213727679,,0.05958727727515446,2014,3,0,4.605711936950684,4.959996223449707,28485.714285714286
2014-04-01,4.634053707122803,4.676567921019817,4.625196705929943,4.676567921019817,14600,2014-04-01,-0.003048921854617692,0.05137121508987441,4.588503156389509,,0.05594916513352552,2014,4,1,4.648225784301758,4.69074010848999,29057.14285714286
2014-04-02,4.609254360198975,4.641140108733659,4.534854392909038,4.641140108733659,9800,2014-04-02,-0.005351544995197188,0.10628571582462065,4.61836440222604,,0.04926490457709365,2014,4,2,4.634053707122803,4.400225639343262,22257.14285714286
